Model,Mode,Starting Samples,OOD Samples,Metric
./results/models/CICIDS/cicids_normal_199997_149997.json,normal,199997,149997.json,0.9100056594012391
./results/models/CICIDS/cicids_normal_199997_99998.json,normal,199997,99998.json,0.9186489004455016
./results/models/CICIDS/cicids_complete_99004_99004.json,complete,99004,99004.json,0.9249340618851518
./results/models/CICIDS/cicids_normal_199997_50000.json,normal,199997,50000.json,0.9277239733967095
./results/models/CICIDS/cicids_complete_99004_49502.json,complete,99004,49502.json,0.9316018062793676
./results/models/CICIDS/cicids_attack_199997_50000_045_1.json,attack,199997,50000,0.9337232406905549
./results/models/CICIDS/cicids_attack_199997_50000_025_0.json,attack,199997,50000,0.9342863438373519
./results/models/CICIDS/cicids_attack_199997_149997.json,attack,199997,149997.json,0.934545051081239
./results/models/CICIDS/cicids_NOTHING_154996_1.json,NOTHING,154996,1.json,0.9348813571202476
./results/models/CICIDS/cicids_NOTHING_199997_1.json,NOTHING,199997,1.json,0.9350399803833186
./results/models/CICIDS/cicids_NOTHING_99004_1.json,NOTHING,99004,1.json,0.9351456505369798
./results/models/CICIDS/cicids_attack_99998_74998.json,attack,99998,74998.json,0.935637631615821
./results/models/CICIDS/cicids_NOTHING_99998_1.json,NOTHING,99998,1.json,0.9359651359856033
./results/models/CICIDS/cicids_attack_99998_54998.json,attack,99998,54998.json,0.936025738962473
./results/models/CICIDS/cicids_attack_99998_24999.json,attack,99998,24999.json,0.936089092683553
